Subject,Daycare,Proportion of time,Country,Sex,L1,L2,L3
401,UK,UK,Canada,Female,English,French,
402,UK,UK,Canada,Male,French,Other,English
404,UK,UK,Canada,Female,English,French,
406,UK,UK,Canada,Male,Other,English,French
410,UK,UK,Canada,Female,French,English,
411,UK,UK,Canada,Male,English,French,
412,UK,UK,Canada,Male,French,English,
413,UK,UK,Canada,Male,English,French,
414,UK,UK,Canada,Male,English,French,
418,UK,UK,Canada,Male,French,English,
421,UK,UK,Canada,Female,French,English,
422,UK,UK,Canada,Male,English,French,
423,UK,UK,Canada,Male,French,English,Other
424,UK,UK,Canada,Male,English,French,
425,UK,UK,Canada,Male,English,French,
426,UK,UK,Canada,Male,English,French,Other
427,UK,UK,Canada,Male,English,French,
428,UK,UK,Canada,Female,French,English,
429,UK,UK,Canada,Male,French,English,
430,UK,UK,Canada,Male,English,French,
431,UK,UK,Canada,Male,French,English,
432,UK,UK,Canada,Male,English,French,
433,UK,UK,Canada,Female,French,English,
434,UK,UK,Canada,Male,French,English,
437,UK,UK,Canada,Female,English,French,
438,UK,UK,Canada,Male,French,English,
439,UK,UK,Canada,Male,English,French,
441,UK,UK,Canada,Male,French,English,
442,UK,UK,Canada,Female,French,English,
443,UK,UK,Canada,Female,French,English,
445,UK,UK,Canada,Female,French,English,
446,UK,UK,Canada,Male,English,French,
447,UK,UK,Canada,Female,French,English,
448,UK,UK,Canada,Male,English,French,
451,UK,UK,Canada,Female,English,French,
452,UK,UK,Canada,Male,French,English,
453,UK,UK,Canada,Male,French,English,
454,UK,UK,Canada,Male,English,French,
455,UK,UK,Canada,Male,English,French,
457,UK,UK,Canada,Male,French,English,
458,UK,UK,Canada,Female,French,English,
459,UK,UK,Canada,Female,French,English,
460,UK,UK,Canada,Male,French,English,
461,UK,UK,Canada,Female,English,Other,French
462,UK,UK,Canada,Female,English,French,
464,UK,UK,Canada,Female,French,English,
465,UK,UK,Canada,Female,English,French,
466,UK,UK,Canada,Female,English,French,
467,UK,UK,Canada,Male,English,French,
468,UK,UK,Canada,Male,French,English,
470,UK,UK,Canada,Female,English,French,
471,UK,UK,Canada,Male,English,French,
