CHILD,Country,Proportion of time,Daycare,Age of English/Irish Aquisition,SessionNo,age,gender
101,Ireland,0.20833333333333300,UK,UK,1,35,Boys
102,Ireland,0.20833333333333300,UK,UK,1,19,girl
102,Ireland,0.20833333333333300,UK,UK,2,26,girl
103,Ireland,0.33333333333333300,UK,UK,1,34,girl
104,Ireland,0.20833333333333300,UK,UK,1,30,Boys
104,Ireland,0.20833333333333300,UK,UK,2,35,Boys
105,Ireland,0.33333333333333300,UK,UK,1,28,Boys
105,Ireland,0.33333333333333300,UK,UK,2,31,Boys
105,Ireland,0.33333333333333300,UK,UK,3,35,Boys
106,Ireland,0.20833333333333300,UK,UK,1,30,Boys
106,Ireland,0.20833333333333300,UK,UK,2,34,Boys
107,Ireland,0.20833333333333300,UK,UK,1,17,Boys
107,Ireland,0.20833333333333300,UK,UK,2,23,Boys
107,Ireland,0.20833333333333300,UK,UK,3,27,Boys
107,Ireland,0.20833333333333300,UK,UK,5,33,Boys
108,Ireland,0.20833333333333300,UK,UK,1,21,girl
108,Ireland,0.20833333333333300,UK,UK,2,26,girl
108,Ireland,0.20833333333333300,UK,UK,3,30,girl
108,Ireland,0.20833333333333300,UK,UK,4,34,girl
109,Ireland,0.20833333333333300,UK,UK,1,23,girl
110,Ireland,0.20833333333333300,UK,UK,2,18,girl
110,Ireland,0.20833333333333300,UK,UK,3,22,girl
111,Ireland,0.33333333333333300,UK,UK,1,24,Boys
111,Ireland,0.33333333333333300,UK,UK,2,28,Boys
111,Ireland,0.33333333333333300,UK,UK,3,32,Boys
111,Ireland,0.33333333333333300,UK,UK,4,36,Boys
112,Ireland,0.20833333333333300,UK,UK,1,27,Boys
112,Ireland,0.20833333333333300,UK,UK,2,31,Boys
112,Ireland,0.20833333333333300,UK,UK,3,35,Boys
113,Ireland,0.33333333333333300,UK,UK,1,29,girl
113,Ireland,0.33333333333333300,UK,UK,2,33,girl
114,Ireland,0.45833333333333300,UK,UK,1,22,girl
114,Ireland,0.45833333333333300,UK,UK,2,26,girl
114,Ireland,0.45833333333333300,UK,UK,3,31,girl
114,Ireland,0.45833333333333300,UK,UK,4,36,girl
115,Ireland,0.45833333333333300,UK,UK,1,26,girl
115,Ireland,0.45833333333333300,UK,UK,2,32,girl
115,Ireland,0.45833333333333300,UK,UK,3,35,girl
116,Ireland,0.08333333333333330,UK,UK,1,22,girl
116,Ireland,0.08333333333333330,UK,UK,2,30,girl
117,Ireland,0.4083333333333330,UK,UK,1,21,girl
118,Ireland,0.33333333333333300,UK,UK,1,27,Boys
118,Ireland,0.33333333333333300,UK,UK,2,31,Boys
118,Ireland,0.33333333333333300,UK,UK,3,34,Boys
119,Ireland,0.08333333333333330,UK,UK,1,20,girl
119,Ireland,0.08333333333333330,UK,UK,2,25,girl
119,Ireland,0.08333333333333330,UK,UK,3,28,girl
203,Ireland,0.20833333333333300,UK,UK,1,28,girl
205,Ireland,0.4083333333333330,UK,UK,1,27,girl
302,Ireland,0.08333333333333330,UK,UK,1,26,girl
303,Ireland,0.08333333333333330,UK,UK,1,26,Boys
304,Ireland,0.08333333333333330,UK,UK,3,22,Boys
304,Ireland,0.08333333333333330,UK,UK,4,26,Boys
304,Ireland,0.08333333333333330,UK,UK,5,30,Boys
304,Ireland,0.08333333333333330,UK,UK,6,35,Boys
305,Ireland,0.20833333333333300,UK,UK,1,24,Boys
305,Ireland,0.20833333333333300,UK,UK,2,29,Boys
305,Ireland,0.20833333333333300,UK,UK,3,33,Boys
305,Ireland,0.20833333333333300,UK,UK,4,36,Boys
306,Ireland,0.33333333333333300,UK,UK,1,26,girl
306,Ireland,0.33333333333333300,UK,UK,2,30,girl
307,Ireland,0.08333333333333330,UK,UK,1,24,girl
307,Ireland,0.08333333333333330,UK,UK,2,30,girl
308,Ireland,0.20833333333333300,UK,UK,1,35,Boys
310,Ireland,0.08333333333333330,UK,UK,1,31,girl
311,Ireland,0.5166666666666670,UK,UK,1,21,Boys
311,Ireland,0.5166666666666670,UK,UK,2,25,Boys
311,Ireland,0.5166666666666670,UK,UK,3,31,Boys
311,Ireland,0.5166666666666670,UK,UK,4,35,Boys
313,Ireland,0.19166666666666700,UK,UK,1,25,girl
313,Ireland,0.19166666666666700,UK,UK,2,31,girl
313,Ireland,0.19166666666666700,UK,UK,3,36,girl
314,Ireland,0.2833333333333330,UK,UK,1,29,Boys
314,Ireland,0.2833333333333330,UK,UK,2,35,Boys
315,Ireland,0.31666666666666700,UK,UK,2,19,Boys
315,Ireland,0.31666666666666700,UK,UK,3,33,Boys
316,Ireland,0.20833333333333300,UK,UK,1,26,girl
317,Ireland,0.20833333333333300,UK,UK,1,17,girl
318,Ireland,0.20833333333333300,UK,UK,1,28,Boys
318,Ireland,0.20833333333333300,UK,UK,2,32,Boys
318,Ireland,0.20833333333333300,UK,UK,3,35,Boys
319,Ireland,0.33333333333333300,UK,UK,1,26,Boys
319,Ireland,0.33333333333333300,UK,UK,2,29,Boys
319,Ireland,0.33333333333333300,UK,UK,3,33,Boys
320,Ireland,0.20833333333333300,UK,UK,1,25,Boys
320,Ireland,0.20833333333333300,UK,UK,2,30,Boys
322,Ireland,0.08333333333333330,UK,UK,1,28,girl
322,Ireland,0.08333333333333330,UK,UK,2,32,girl
323,Ireland,0.08333333333333330,UK,UK,1,25,Boys
324,Ireland,0.20833333333333300,UK,UK,1,30,girl
325,Ireland,0.20833333333333300,UK,UK,1,35,girl
401,Ireland,0.45833333333333300,UK,UK,1,23,Boys
401,Ireland,0.45833333333333300,UK,UK,2,27,Boys
401,Ireland,0.45833333333333300,UK,UK,3,31,Boys
402,Ireland,0.3,UK,UK,1,36,girl
501,Ireland,0.45833333333333300,UK,UK,1,28,girl
503,Ireland,0.08333333333333330,UK,UK,1,25,girl
504,Ireland,0.08,UK,UK,1,23,girl
505,Ireland,0.33333333333333300,UK,UK,1,24,girl
