,age_24,age_26,age_28,age_29,age_30,age_31,age_32,age_34,age_35,age_36,age_40,age_41,age_42,age_43,age_45,age_47
Child,"['Child1', 'Child3', 'Child4']","['Child2', 'Child10']",['Child28'],['Child9'],['Child26'],"['Child18', 'Child34', 'Child35']","['Child11', 'Child12', 'Child13', 'Child19', 'Child24']","['Child7', 'Child8', 'Child15', 'Child20', 'Child38']","['Child22', 'Child37']","['Child5', 'Child6', 'Child14', 'Child16', 'Child17']","['Child25', 'Child29', 'Child40']",['Child30'],"['Child21', 'Child23', 'Child32']","['Child33', 'Child39']","['Child27', 'Child36']",['Child31']
baa baa,1.0,0.5,1.0,1.0,1.0,0.67,0.4,0.4,1.0,0.8,1.0,1.0,0.0,0.5,1.0,1.0
choo choo,0.67,0.5,1.0,1.0,0.0,0.67,0.4,0.2,1.0,0.8,0.67,1.0,0.33,1.0,1.0,0.0
cockadoodledoo,0.33,0.0,1.0,1.0,0.0,0.0,0.2,0.4,0.0,0.8,0.33,1.0,0.33,1.0,0.0,1.0
grrr,0.33,0.0,1.0,0.0,0.0,1.0,0.2,0.4,1.0,0.8,0.67,1.0,0.33,1.0,0.5,1.0
meow,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moo,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ouch,0.67,0.5,1.0,1.0,0.0,1.0,0.6,0.6,1.0,0.8,0.67,1.0,0.33,0.5,1.0,1.0
quack quack,0.33,0.5,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.8,1.0,1.0,0.33,1.0,1.0,1.0
uh oh,0.67,0.5,1.0,1.0,1.0,1.0,0.4,0.8,1.0,0.8,1.0,1.0,0.33,1.0,1.0,1.0
vroom,0.33,0.0,1.0,1.0,0.0,0.33,0.4,0.0,1.0,0.8,0.33,1.0,0.33,0.5,0.0,1.0
woof woof,1.0,1.0,1.0,1.0,1.0,0.67,0.6,0.8,1.0,1.0,0.67,1.0,0.33,0.5,0.5,1.0
yum yum,0.33,0.5,1.0,0.0,0.0,1.0,0.2,0.6,1.0,0.8,0.67,0.0,0.33,0.5,1.0,1.0
alligator,0.33,0.0,1.0,0.0,1.0,0.0,0.4,0.2,0.0,0.6,0.67,0.0,0.33,0.5,0.0,1.0
animal,0.33,1.0,1.0,1.0,1.0,0.67,0.6,0.6,1.0,0.8,0.67,0.0,1.0,1.0,0.5,1.0
ant,0.0,0.0,1.0,0.0,0.0,0.33,0.2,0.6,1.0,0.4,0.67,0.0,0.33,0.5,0.5,1.0
bear,0.33,0.5,1.0,0.0,0.0,0.33,0.2,0.2,1.0,0.6,0.67,0.0,0.67,0.5,1.0,1.0
bee,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.4,1.0,0.8,0.67,0.0,0.67,0.5,1.0,1.0
bird,0.33,1.0,1.0,1.0,1.0,1.0,0.6,0.4,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0
bug,0.0,0.5,1.0,0.0,0.0,0.33,0.0,0.4,0.5,0.6,0.33,0.0,1.0,0.5,1.0,1.0
bunny,0.33,1.0,1.0,1.0,0.0,0.33,0.2,0.6,1.0,0.6,0.67,0.0,0.67,0.5,0.5,0.0
butterfly,0.33,0.5,1.0,1.0,1.0,0.33,0.4,0.8,1.0,0.6,1.0,0.0,1.0,1.0,1.0,1.0
cat,0.67,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.67,0.0,1.0,1.0,1.0,1.0
chicken,0.67,1.0,1.0,0.0,1.0,0.67,0.8,1.0,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0
cow,0.33,0.0,1.0,1.0,1.0,0.67,0.8,1.0,1.0,0.6,0.67,0.0,1.0,1.0,1.0,1.0
deer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
dog,0.33,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.6,0.67,0.0,1.0,1.0,1.0,1.0
donkey,0.0,0.5,1.0,0.0,0.0,0.33,0.2,0.2,1.0,0.4,0.67,0.0,0.67,0.5,0.5,1.0
duck,0.33,1.0,1.0,0.0,1.0,0.33,0.6,0.6,1.0,0.6,0.67,0.0,1.0,0.5,1.0,1.0
elephant,0.67,1.0,0.0,1.0,1.0,0.67,0.6,0.8,1.0,0.6,0.67,0.0,1.0,1.0,1.0,1.0
fish,0.67,1.0,1.0,0.0,1.0,0.67,1.0,1.0,1.0,0.8,1.0,0.0,1.0,1.0,1.0,1.0
frog,0.33,1.0,1.0,0.0,0.0,0.33,0.6,0.8,1.0,0.8,0.67,0.0,0.67,1.0,1.0,1.0
giraffe,0.33,1.0,1.0,0.0,0.0,0.67,0.6,0.8,1.0,1.0,0.67,0.0,1.0,1.0,1.0,1.0
goose,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.33,0.0,0.33,0.5,0.0,0.0
hen,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0
horse,0.67,0.5,1.0,1.0,1.0,0.67,0.4,0.8,1.0,0.8,0.67,0.0,1.0,0.5,1.0,1.0
kitty,0.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6,0.67,0.0,0.0,0.5,0.5,1.0
lamb,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.33,0.0,0.0,0.5,0.0,0.0
lion,0.67,1.0,1.0,0.0,0.0,0.67,0.6,0.8,1.0,0.8,1.0,0.0,1.0,1.0,1.0,1.0
monkey,0.67,1.0,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0
moose,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.33,0.0,0.0,0.5,0.5,0.0
mouse,0.33,0.0,1.0,0.0,0.0,0.33,0.0,0.8,1.0,0.6,0.67,0.0,0.67,0.5,1.0,0.0
owl,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.6,1.0,0.4,0.67,0.0,0.0,0.5,0.5,0.0
penguin,0.33,0.5,1.0,1.0,0.0,0.0,0.4,0.2,1.0,0.6,0.67,0.0,0.67,0.5,0.5,1.0
pig,0.33,0.0,1.0,1.0,1.0,0.33,0.6,0.4,1.0,0.6,0.67,0.0,0.0,0.5,1.0,1.0
pony,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.67,0.0,0.0,0.5,0.0,0.0
puppy,0.0,0.5,1.0,0.0,0.0,0.0,0.4,0.6,0.5,0.8,0.67,0.0,0.0,0.5,0.5,0.0
rooster,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.5,0.4,0.33,0.0,0.33,0.5,0.0,1.0
sheep,0.67,0.5,1.0,0.0,1.0,0.33,0.6,0.6,1.0,0.8,0.67,0.0,1.0,0.5,1.0,1.0
squirrel,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.5,0.0,0.0
teddybear,0.67,0.5,1.0,0.0,0.0,0.0,0.2,0.2,1.0,0.4,0.33,0.0,0.33,0.5,0.0,1.0
