,session_1,session_2,session_3,session_4,session_5,session_6
CHILD,,,,,,
SessionNo,,,,,,
age,,,,,,
gender,,,,,,
BirthOrder,,,,,,
MainCaregiverIrish,,,,,,
MainCaregiverEnglish,,,,,,
LanguageHousehold,,,,,,
MotherEducationESS,,,,,,
FatherEducationESS,,,,,,
ahah,0.91,0.85,0.94,1.0,1.0,1.0
baabaa,0.96,1.0,1.0,1.0,1.0,1.0
bowwow,0.96,0.93,1.0,1.0,1.0,1.0
choochoo,0.84,0.89,0.89,1.0,1.0,1.0
cockadoodledoo,0.69,0.81,0.89,0.83,1.0,1.0
grr,0.58,0.89,0.78,1.0,1.0,1.0
meow,0.87,0.96,1.0,1.0,1.0,1.0
moo,0.89,1.0,0.94,1.0,1.0,1.0
ouch,0.87,0.93,0.94,1.0,1.0,1.0
quackquack,0.93,1.0,0.94,1.0,1.0,1.0
uhoh,0.89,0.89,0.83,1.0,1.0,1.0
vroom,0.67,0.93,0.89,1.0,1.0,1.0
yumyum,0.91,0.96,0.89,0.83,1.0,1.0
animal,0.16,0.22,0.24,0.5,0.0,0.0
donkey,0.22,0.3,0.56,0.5,0.5,9.0
beach,0.6,0.78,0.72,0.83,1.0,1.0
bee,0.24,0.3,0.5,0.67,0.5,0.0
cow,0.2,0.22,0.33,0.5,0.5,0.0
ladybird,0.16,0.19,0.33,0.5,0.5,0.0
sheep,0.2,0.41,0.33,0.5,0.0,0.0
pony,0.02,0.19,0.22,0.17,0.0,0.0
horse,0.27,0.33,0.39,0.5,0.0,0.0
catie,0.89,0.93,1.0,1.0,1.0,1.0
hen,0.04,0.15,0.17,0.17,0.0,0.0
cock,0.04,0.07,0.06,0.17,0.0,0.0
puppy,0.24,0.44,0.56,0.67,0.5,0.0
rabbit,0.22,0.22,0.5,0.5,0.5,0.0
fly,0.11,0.19,0.22,0.5,0.0,0.0
spider,0.38,0.52,0.67,0.83,0.5,0.0
swan,0.02,0.07,0.11,0.0,0.0,0.0
bird,0.22,0.33,0.5,0.5,0.5,0.0
seagull,0.02,0.04,0.0,0.17,0.0,0.0
butterfly,0.2,0.3,0.44,0.67,0.5,0.0
deer,0.07,0.11,0.11,0.0,0.0,0.0
frog,0.53,0.7,0.83,1.0,1.0,1.0
goat,0.0,0.15,0.11,0.5,0.0,0.0
goose,0.02,0.04,0.0,0.33,0.0,0.0
fish,0.18,0.33,0.61,0.5,0.5,0.0
duck,0.18,0.3,0.39,0.67,0.5,0.0
calf,0.04,0.07,0.0,0.17,0.0,0.0
lion,0.27,0.3,0.39,0.33,0.0,0.0
mouse,0.18,0.15,0.28,0.33,0.5,0.0
wolf,0.04,0.07,0.06,0.33,0.5,0.0
fox,0.13,0.19,0.28,0.33,0.0,0.0
dog,0.33,0.48,0.61,0.67,0.5,0.0
pig,0.22,0.37,0.56,0.67,0.0,0.0
snake,0.2,0.3,0.56,0.33,0.5,1.0
penguin,0.31,0.48,0.5,0.83,0.5,0.0
crow,0.0,0.07,0.0,0.17,0.0,0.0
zebra,0.27,0.41,0.5,0.67,0.0,0.0
snail,0.07,0.15,0.22,0.33,0.0,0.0
chicken,0.16,0.33,0.39,0.33,0.0,0.0
giraffe,0.33,0.3,0.61,0.5,0.0,0.0
robin,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.27,0.41,0.5,0.5,0.0,0.0
lamb,0.02,0.15,0.17,0.33,0.0,0.0
boat,0.2,0.26,0.33,-16.0,0.0,0.0
busie,0.8,0.93,1.0,-15.67,1.0,1.0
car,0.31,0.37,0.5,-16.0,0.0,0.0
aeroplane,0.29,0.33,0.5,-15.83,0.5,0.0
motorbike,0.22,0.41,0.61,-15.67,0.0,1.0
jeepie,0.33,0.56,0.67,-15.83,1.0,1.0
long,0.07,0.19,0.17,-16.33,0.0,0.0
ship,0.04,0.11,0.22,-16.33,0.5,0.0
ambulance,0.16,0.19,0.22,-15.83,1.0,1.0
tractor,0.62,0.7,0.83,-15.67,0.5,1.0
digger,0.33,0.7,0.67,-15.67,1.0,1.0
doll,0.49,0.7,0.72,-15.67,1.0,0.0
blocks,0.22,0.19,0.44,-15.83,0.5,0.0
bubbles,0.73,0.7,0.67,-15.67,1.0,1.0
toy,0.36,0.52,0.61,-15.83,0.5,1.0
present,0.29,0.37,0.44,-15.83,0.0,0.0
hurley,0.09,0.04,0.11,-16.0,0.0,0.0
game,0.13,0.22,0.28,-16.0,0.5,0.0
druma,0.27,0.26,0.28,-15.83,1.0,0.0
drum,0.24,0.11,0.33,-16.17,0.0,0.0
gun,0.09,0.11,0.11,-16.5,0.0,0.0
book,0.29,0.3,0.56,-16.17,0.5,0.0
(foot)ball,0.49,0.52,0.39,-15.83,0.0,0.0
jigsaw,0.42,0.67,0.72,-15.67,0.0,1.0
pen,0.09,0.19,0.17,-16.17,0.0,0.0
pencil,0.18,0.19,0.22,-16.0,0.0,1.0
story,0.18,0.3,0.33,-16.17,0.5,0.0
sliotarie,0.04,0.15,0.22,-16.17,0.0,0.0
soup,0.29,0.44,0.5,-16.0,0.5,0.0
bread,0.2,0.41,0.39,-16.33,0.5,0.0
bacon,0.07,0.15,0.22,-16.33,0.0,0.0
milk,0.18,0.33,0.33,-16.17,0.0,0.0
food,0.18,0.41,0.17,-16.0,0.5,0.0
muffin,0.11,0.19,0.17,-16.17,0.5,0.0
briosca,0.84,0.93,0.89,-15.83,1.0,1.0
biscuit,0.18,0.41,0.44,-16.0,0.5,0.0
cabbage,0.04,0.15,0.06,-16.33,0.0,0.0
cake,0.13,0.33,0.33,-16.17,0.5,0.0
cheese,0.38,0.48,0.5,-15.83,0.5,0.0
cornflakes,0.44,0.48,0.5,-15.67,1.0,1.0
grapes,0.71,0.67,0.56,-15.83,1.0,1.0
sandwich,0.27,0.59,0.44,-16.0,0.5,0.0
chickennuggets,0.36,0.44,0.39,-15.83,0.5,1.0
nuts,0.13,0.19,0.17,-16.17,0.5,0.0
drink,0.11,0.3,0.44,-16.5,0.5,0.0
feoil,0.49,0.63,0.89,-15.83,1.0,1.0
meat,0.07,0.11,0.17,-16.17,0.0,0.0
jelly,0.36,0.26,0.39,-16.0,0.0,0.0
fish,0.2,0.3,0.28,-16.17,0.5,0.0
butter,0.16,0.26,0.28,-16.33,0.0,0.0
sausages,0.44,0.7,0.72,-15.67,0.5,1.0
porridge,0.2,0.48,0.33,-16.17,0.5,0.0
ham,0.69,0.63,0.5,-15.67,1.0,1.0
lollipop,0.51,0.52,0.5,-15.67,1.0,1.0
honey,0.13,0.19,0.17,-16.17,0.0,0.0
sweets,0.53,0.63,0.39,-15.83,0.5,1.0
