,age_21,age_22,age_23,age_24,age_25,age_26
Subject,"[424, 425]","[413, 414, 418, 423]","[401, 402, 406, 411, 412, 421, 430, 437, 442, 445, 447, 448, 453, 459, 460, 462]","[404, 422, 427, 429, 431, 432, 433, 434, 439, 441, 452, 457, 461, 464, 466, 467, 470, 471]","[410, 426, 428, 438, 446, 451, 454, 455, 458, 465, 468]",[443]
Age at English Visit,,,,,,
baa baa,1.0,0.25,0.5,0.76,0.64,0.0
choo choo,1.0,0.0,0.81,0.76,0.73,0.0
cockadoodledoo,0.0,0.0,0.25,0.29,0.18,0.0
grr,0.5,0.25,0.56,0.76,0.82,1.0
meow,1.0,0.5,0.81,0.65,0.82,0.0
moo,1.0,0.75,0.81,0.65,0.73,0.0
ouch,0.0,0.5,0.44,0.71,0.64,0.0
quack quack,1.0,0.5,0.62,0.71,0.82,0.0
uh oh,1.0,0.75,0.81,0.94,1.0,0.0
vroom,0.5,0.5,0.69,0.65,0.82,0.0
woof woof,1.0,0.75,0.62,0.76,0.82,0.0
yum yum,0.5,0.0,0.56,0.76,0.82,0.0
alligator,0.0,0.0,0.12,0.18,0.36,0.0
animal,0.0,0.0,0.38,0.53,0.36,0.0
ant,0.0,0.0,0.19,0.29,0.18,0.0
bear,0.0,0.25,0.44,0.47,0.55,0.0
bee,0.0,0.0,0.25,0.65,0.45,0.0
bird,0.0,0.0,0.44,0.71,0.73,0.0
bug,0.0,0.0,0.19,0.35,0.18,0.0
bunny,0.0,0.5,0.25,0.76,0.55,0.0
butterfly,0.0,0.0,0.38,0.47,0.55,1.0
cat,1.0,0.25,0.56,0.88,0.64,1.0
chicken,0.0,0.0,0.31,0.47,0.45,0.0
cow,0.5,0.0,0.38,0.65,0.45,0.0
deer,0.0,0.0,0.06,0.24,0.09,0.0
dog,0.5,0.5,0.62,0.82,0.82,1.0
donkey,0.5,0.0,0.12,0.24,0.09,0.0
duck,0.0,0.25,0.44,0.65,0.73,0.0
elephant,0.0,0.25,0.38,0.59,0.73,0.0
fish,0.0,0.25,0.44,0.71,0.73,1.0
frog,0.0,0.0,0.31,0.41,0.64,0.0
giraffe,0.0,0.0,0.19,0.59,0.45,0.0
goose,0.0,0.25,0.12,0.12,0.0,0.0
hen,0.0,0.0,0.0,0.06,0.0,0.0
horse,0.0,0.25,0.31,0.71,0.64,0.0
kitty,0.5,0.25,0.25,0.47,0.18,0.0
lamb,0.0,0.25,0.12,0.18,0.18,0.0
lion,0.0,0.25,0.44,0.53,0.55,0.0
monkey,0.5,0.0,0.5,0.65,0.55,0.0
moose,0.0,0.0,0.06,0.29,0.0,0.0
mouse,0.5,0.0,0.31,0.29,0.27,0.0
owl,0.0,0.0,0.25,0.29,0.36,0.0
penguin,0.0,0.0,0.25,0.24,0.27,0.0
pig,0.5,0.25,0.31,0.53,0.45,0.0
pony,0.0,0.0,0.12,0.12,0.18,0.0
puppy,0.5,0.25,0.31,0.41,0.45,0.0
rooster,0.0,0.0,0.25,0.12,0.0,0.0
sheep,0.0,0.0,0.19,0.41,0.36,0.0
squirrel,0.0,0.0,0.19,0.41,0.36,0.0
teddybear,0.0,0.0,0.19,0.35,0.36,0.0
tiger,0.5,0.0,0.12,0.41,0.45,0.0
turkey,0.0,0.0,0.19,0.06,0.0,0.0
turtle,0.0,0.0,0.25,0.41,0.55,0.0
wolf,0.0,0.0,0.06,0.24,0.18,0.0
zebra,0.0,0.0,0.19,0.35,0.36,0.0
airplane,0.5,0.5,0.38,0.59,0.55,0.0
bicycle,0.5,0.25,0.31,0.53,0.45,0.0
boat,0.0,0.25,0.31,0.47,0.55,0.0
bus,1.0,0.5,0.69,0.82,0.82,1.0
car,1.0,0.75,0.5,0.82,0.73,1.0
firetruck,0.5,0.25,0.25,0.53,0.55,0.0
helicopter,0.5,0.0,0.25,0.24,0.18,0.0
motorcycle,0.5,0.0,0.19,0.24,0.09,0.0
sled,0.0,0.0,0.06,0.06,0.09,0.0
stroller,0.5,0.0,0.33,0.47,0.18,0.0
tractor,0.0,0.0,0.38,0.24,0.36,0.0
train,0.5,0.5,0.56,0.71,0.82,0.0
tricycle,0.5,0.0,0.06,0.06,0.18,0.0
truck,1.0,0.5,0.62,0.76,0.82,0.0
ball,1.0,0.75,0.69,0.94,1.0,1.0
balloon,0.5,0.0,0.56,0.65,0.55,0.0
bat,0.0,0.0,0.07,0.06,0.09,0.0
block,1.0,0.0,0.19,0.35,0.45,0.0
book,1.0,0.5,0.56,0.76,0.91,0.0
bubbles,1.0,0.25,0.44,0.71,0.82,0.0
chalk,0.0,0.0,0.06,0.06,0.09,0.0
crayon,0.0,0.25,0.19,0.41,0.18,0.0
doll,0.0,0.25,0.25,0.29,0.27,0.0
game,0.0,0.0,0.25,0.24,0.18,0.0
glue,0.0,0.0,0.0,0.06,0.09,0.0
pen,0.5,0.5,0.19,0.24,0.09,0.0
pencil,0.5,0.0,0.19,0.18,0.18,0.0
play dough,0.5,0.0,0.19,0.29,0.18,0.0
present,0.0,0.0,0.25,0.24,0.09,0.0
puzzle,0.0,0.0,0.31,0.41,0.45,0.0
story,0.0,0.25,0.25,0.35,0.27,0.0
toy,0.0,0.25,0.31,0.59,0.36,0.0
apple,1.0,0.5,0.69,0.82,1.0,1.0
applesauce,1.0,0.0,0.19,0.41,0.45,0.0
banana,1.0,0.5,0.75,0.94,0.91,1.0
beans,0.0,0.0,0.12,0.18,0.09,0.0
bread,0.5,0.0,0.38,0.47,0.45,0.0
butter,0.0,0.0,0.12,0.24,0.18,0.0
cake,0.5,0.25,0.38,0.53,0.45,0.0
candy,0.5,0.25,0.19,0.41,0.18,0.0
carrots,0.0,0.25,0.38,0.47,0.64,0.0
cereal,1.0,0.0,0.38,0.53,0.55,0.0
cheerios,1.0,0.25,0.38,0.41,0.27,0.0
cheese,1.0,0.5,0.56,0.82,0.91,0.0
chicken.1,0.5,0.5,0.25,0.47,0.36,0.0
chocolate,0.5,0.0,0.44,0.53,0.45,0.0
coffee,0.5,0.0,0.25,0.47,0.18,0.0
coke,0.0,0.0,0.0,0.12,0.09,0.0
cookie,1.0,0.5,0.56,0.71,0.82,0.0
corn,0.0,0.25,0.25,0.18,0.09,0.0
cracker,0.5,0.0,0.25,0.59,0.45,0.0
donut,0.0,0.25,0.06,0.12,0.18,0.0
drink,0.0,0.0,0.31,0.29,0.36,0.0
egg,0.0,0.25,0.38,0.47,0.45,0.0
fish.1,0.0,0.0,0.31,0.59,0.55,0.0
food,0.0,0.25,0.19,0.29,0.36,0.0
french fries,0.0,0.25,0.25,0.29,0.36,0.0
grapes,0.0,0.5,0.25,0.47,0.27,0.0
green beans,0.0,0.0,0.12,0.06,0.0,0.0
gum,0.0,0.0,0.0,0.12,0.09,0.0
hamburger,0.0,0.25,0.06,0.18,0.09,0.0
ice,0.0,0.0,0.12,0.24,0.27,0.0
ice cream,0.5,0.25,0.31,0.47,0.36,0.0
jello,0.0,0.0,0.12,0.24,0.18,0.0
jelly,0.0,0.0,0.06,0.06,0.0,0.0
juice,0.5,0.5,0.5,0.88,0.91,0.0
lolipop,0.5,0.0,0.12,0.12,0.36,0.0
meat,0.0,0.0,0.12,0.29,0.27,0.0
melon,0.0,0.25,0.12,0.29,0.09,0.0
milk,1.0,0.5,0.5,0.88,0.91,0.0
muffin,0.0,0.25,0.25,0.24,0.36,0.0
noodles,0.0,0.0,0.12,0.41,0.18,0.0
nuts,0.0,0.0,0.06,0.24,0.09,0.0
orange,0.0,0.25,0.44,0.76,0.64,0.0
pancake,0.5,0.0,0.12,0.35,0.27,0.0
peanut butter,0.0,0.0,0.25,0.24,0.18,0.0
peas,0.0,0.25,0.19,0.18,0.09,0.0
pickle,0.0,0.0,0.0,0.24,0.0,0.0
pizza,0.5,0.75,0.56,0.76,0.64,1.0
popcorn,0.0,0.25,0.19,0.29,0.27,0.0
popsicle,0.5,0.25,0.06,0.12,0.36,0.0
potato,0.0,0.25,0.31,0.29,0.18,0.0
potato chip,0.0,0.25,0.25,0.41,0.18,0.0
pretzel,0.0,0.0,0.06,0.06,0.0,0.0
pudding,0.0,0.0,0.06,0.24,0.0,0.0
pumpkin,0.0,0.0,0.19,0.24,0.18,0.0
raisin,0.0,0.25,0.31,0.35,0.18,0.0
salt,0.0,0.0,0.0,0.12,0.09,0.0
sandwich,0.0,0.25,0.25,0.35,0.27,0.0
sauce,0.0,0.25,0.12,0.29,0.27,0.0
soda/pop,0.0,0.0,0.0,0.12,0.0,0.0
soup,0.0,0.5,0.5,0.65,0.55,0.0
spaghetti,0.0,0.5,0.38,0.41,0.27,0.0
strawberry,0.0,0.25,0.38,0.35,0.36,1.0
toast,0.0,0.0,0.44,0.59,0.36,0.0
tuna,0.0,0.0,0.06,0.12,0.09,0.0
vanilla,0.0,0.0,0.06,0.06,0.0,0.0
vitamins,0.0,0.25,0.06,0.12,0.09,0.0
water ,1.0,0.5,0.44,0.71,0.64,0.0
yogurt,0.5,0.25,0.5,0.59,0.64,0.0
beads,0.0,0.0,0.0,0.06,0.0,0.0
belt,0.0,0.0,0.12,0.12,0.18,0.0
bib,0.0,0.0,0.31,0.41,0.18,0.0
boots,0.5,0.75,0.56,0.82,0.91,0.0
button,0.0,0.25,0.44,0.29,0.45,0.0
coat,0.0,0.25,0.44,0.29,0.36,0.0
diaper,0.0,0.25,0.5,0.47,0.55,0.0
dress,0.0,0.25,0.25,0.18,0.18,0.0
gloves,0.0,0.0,0.31,0.29,0.36,0.0
hat,0.5,0.5,0.5,0.71,0.73,0.0
jacket,0.0,0.25,0.31,0.35,0.45,0.0
jeans,0.0,0.0,0.12,0.18,0.27,1.0
mittens,0.0,0.25,0.31,0.24,0.45,0.0
necklace,0.0,0.0,0.25,0.12,0.09,0.0
pajamas,0.5,0.25,0.31,0.41,0.55,0.0
pants,0.0,0.5,0.31,0.35,0.55,0.0
scarf,0.0,0.25,0.25,0.12,0.18,0.0
shirt,0.0,0.25,0.25,0.29,0.36,0.0
shoe,0.5,0.5,0.62,0.76,0.82,0.0
shorts,0.0,0.25,0.19,0.24,0.18,0.0
slipper,0.0,0.25,0.31,0.29,0.36,0.0
sneaker,0.0,0.0,0.06,0.24,0.09,0.0
snowsuit,0.0,0.0,0.19,0.06,0.27,0.0
sock,0.5,0.5,0.44,0.82,0.64,0.0
sweater,0.0,0.0,0.25,0.18,0.27,0.0
tights,0.0,0.0,0.12,0.12,0.09,0.0
underpants,0.0,0.0,0.12,0.06,0.09,0.0
zipper,0.0,0.25,0.31,0.24,0.36,0.0
ankle,0.0,0.0,0.06,0.06,0.0,0.0
arm,0.0,0.25,0.25,0.38,0.36,0.0
belly button,0.5,0.0,0.38,0.41,0.45,0.0
buttocks/bottom,0.0,0.0,0.38,0.59,0.73,0.0
cheek,0.5,0.0,0.31,0.29,0.27,0.0
chin,0.0,0.0,0.25,0.35,0.27,0.0
ear,0.0,0.25,0.56,0.71,0.73,0.0
eye,1.0,0.25,0.69,0.82,0.82,0.0
face,0.5,0.25,0.25,0.24,0.36,0.0
feet,1.0,0.5,0.56,0.71,0.64,0.0
finger,0.5,0.25,0.38,0.35,0.36,0.0
hair,0.5,0.5,0.38,0.65,0.55,0.0
hand,0.5,0.5,0.44,0.71,0.55,0.0
head,1.0,0.25,0.38,0.47,0.55,0.0
knee,0.5,0.25,0.19,0.44,0.18,0.0
leg,0.5,0.5,0.25,0.35,0.36,0.0
lips,0.0,0.0,0.25,0.24,0.18,0.0
