item,type,definition,gloss,language,choices,itemID,complexity_category
baa baa,Sounds,baa baa,baa baa,Eng,comprehension/production,item_1,
מה מה,Sounds,מה מה,baa baa,Heb,comprehension/production,item_2,
בזז...,Sounds,בזז...,baa baa,Heb,comprehension/production,item_3,
choo choo,Sounds,choo choo,choo choo,Eng,comprehension/production,item_4,
ציק ציק צאק,Sounds,ציק ציק צאק,choo choo,Heb,comprehension/production,item_5,
שש..ש,Sounds,שש..ש,choo choo,Heb,comprehension/production,item_6,
cockadoodledoo,Sounds,cockadoodledoo,cockadoodledoo,Eng,comprehension/production,item_7,
קוקוריקו,Sounds,קוקוריקו,cockadoodledoo,Heb,comprehension/production,item_8,
אי-אה,Sounds,אי-אה,cockadoodledoo,Heb,comprehension/production,item_9,
grrr,Sounds,grrr,grrr,universal,comprehension/production,item_10,
הופה,Sounds,הופה,grrr,Heb,comprehension/production,item_11,
meow,Sounds,meow,meow,Eng,comprehension/production,item_12,
מיאו,Sounds,מיאו,meow,Heb,comprehension/production,item_13,
ציף ציף,Sounds,ציף ציף,meow,Heb,comprehension/production,item_14,
moo,Sounds,moo,moo,Eng,comprehension/production,item_15,
מו,Sounds,מו,moo,Heb,comprehension/production,item_16,
ouch,Sounds,ouch,ouch,Eng,comprehension/production,item_17,
אוי/איה,Sounds,אוי/איה,ouch,Heb,comprehension/production,item_18,
quack quack,Sounds,quack quack,quack quack,Eng,comprehension/production,item_19,
גע גע,Sounds,גע גע,quack quack,Heb,comprehension/production,item_20,
uh oh,Sounds,uh oh,uh oh,Eng,comprehension/production,item_21,
אוי/איה_2,Sounds,אוי/איה,uh oh,Heb,comprehension/production,item_22,
vroom,Sounds,vroom,vroom,Eng,comprehension/production,item_23,
וון וון/הנ/ ברר,Sounds,וון וון/הנ/ ברר,vroom,Heb,comprehension/production,item_24,
woof woof,Sounds,woof woof,woof woof,Eng,comprehension/production,item_25,
האו/ הב הב,Sounds,האו/ הב הב,woof woof,Heb,comprehension/production,item_26,
yum yum,Sounds,yum yum,yum yum,Eng,comprehension/production,item_27,
הם/ מ מ...מ,Sounds,הם/ מ מ...מ,yum yum,Heb,comprehension/production,item_28,
alligator,Animals,alligator,alligator,Eng,comprehension/production,item_29,
תנין,Animals,תנין,alligator,Heb,comprehension/production,item_30,
אפרוח,Animals,אפרוח,alligator,Heb,comprehension/production,item_31,
animal,Animals,animal,animal,Eng,comprehension/production,item_32,
חיה,Animals,חיה,animal,Heb,comprehension/production,item_33,
היפופוטם,Animals,היפופוטם,animal,Heb,comprehension/production,item_34,
