,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36
CHILD,"[107, 317]",[110],"[102, 315]",[119],"[108, 117, 311]","[110, 114, 116, 304]","[107, 109, 401, 504]","[111, 305, 307, 505]","[119, 311, 313, 320, 323, 503]","[102, 108, 114, 115, 302, 303, 304, 306, 316, 319]","[107, 112, 118, 205, 401]","[105, 111, 119, 203, 318, 322, 501]","[113, 305, 314, 319]","[104, 106, 108, 116, 304, 306, 307, 320, 324]","[105, 112, 114, 118, 310, 311, 313, 401]","[111, 115, 318, 322]","[107, 113, 305, 315, 319]","[103, 106, 108, 118]","[101, 104, 105, 112, 115, 304, 308, 311, 314, 318, 325]","[111, 114, 305, 313, 402]"
SessionNo,2,1,2,1,3,4,4,4,6,10,5,7,4,9,8,4,5,4,11,5
ahah,1.0,0.0,0.5,1.0,0.33,0.75,1.0,1.0,1.0,0.9,1.0,1.0,0.75,1.0,0.88,1.0,1.0,1.0,1.0,0.8
baabaa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,0.8
bowwow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.86,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.8
choochoo,0.5,0.0,1.0,0.0,0.67,0.25,0.75,1.0,0.83,1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,1.0,0.91,0.8
cockadoodledoo,0.5,0.0,1.0,1.0,0.33,0.5,0.5,0.75,0.67,0.8,0.6,0.86,1.0,0.89,0.75,1.0,1.0,0.5,1.0,0.8
grr,0.5,0.0,0.5,0.0,0.33,0.25,0.5,0.75,0.83,0.8,0.8,0.43,0.5,0.89,1.0,1.0,1.0,0.75,0.82,1.0
meow,1.0,0.0,1.0,1.0,0.67,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,0.91,0.8
moo,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,0.91,1.0
ouch,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.75,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.8
quackquack,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,0.91,1.0
