item,itemID,type,choices,complexity_category,definition,gloss
ahah,item_1,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,ahah,ahah
baabaa,item_2,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,baabaa,baabaa
bowwow,item_3,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,bowwow,bowwow
choochoo,item_4,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,choochoo,choochoo
cockadoodledoo,item_5,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,cockadoodledoo,cockadoodledoo
grr,item_6,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,grr,grr
meow,item_7,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,meow,meow
moo,item_8,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,moo,moo
ouch,item_9,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,ouch,ouch
quackquack,item_10,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,quackquack,quackquack
uhoh,item_11,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,uhoh,uhoh
vroom,item_12,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,vroom,vroom
yumyum,item_13,SOUND EFFECTS AND ANIMAL NOISES ,produces; doesn't produce,,yumyum,yumyum
ainmhí,item_14,ANIMALS (Real or toy),produces; doesn't produce,,ainmhí,animal
animal,item_15,ANIMALS (Real or toy),produces; doesn't produce,,animal,animal
asal,item_16,ANIMALS (Real or toy),produces; doesn't produce,,asal,donkey
donkey,item_17,ANIMALS (Real or toy),produces; doesn't produce,,donkey,donkey
beach,item_18,ANIMALS (Real or toy),produces; doesn't produce,,beach,beach
bee,item_19,ANIMALS (Real or toy),produces; doesn't produce,,bee,bee
bear,item_20,ANIMALS (Real or toy),produces; doesn't produce,,bear_béir,bear
bó,item_21,ANIMALS (Real or toy),produces; doesn't produce,,bó,cow
cow,item_22,ANIMALS (Real or toy),produces; doesn't produce,,cow,cow
bóindé,item_23,ANIMALS (Real or toy),produces; doesn't produce,,bóindé,ladybird
ladybird,item_24,ANIMALS (Real or toy),produces; doesn't produce,,ladybird,ladybird
caora,item_25,ANIMALS (Real or toy),produces; doesn't produce,,caora,sheep
sheep,item_26,ANIMALS (Real or toy),produces; doesn't produce,,sheep,sheep
capallín,item_27,ANIMALS (Real or toy),produces; doesn't produce,,capallín,pony
pony,item_28,ANIMALS (Real or toy),produces; doesn't produce,,pony,pony
capall,item_29,ANIMALS (Real or toy),produces; doesn't produce,,capall,horse
horse,item_30,ANIMALS (Real or toy),produces; doesn't produce,,horse,horse
catie,item_31,ANIMALS (Real or toy),produces; doesn't produce,,catie,catie
cearc,item_32,ANIMALS (Real or toy),produces; doesn't produce,,cearc,hen
hen,item_33,ANIMALS (Real or toy),produces; doesn't produce,,hen,hen
coileach,item_34,ANIMALS (Real or toy),produces; doesn't produce,,coileach,cock
cock,item_35,ANIMALS (Real or toy),produces; doesn't produce,,cock,cock
