item,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_40,age_41,age_42,age_43,age_45,age_47,age_48
I,,,,,0.0,0.0,0.25,0.12,0.27,0.0,,0.0,0.4,0.47,0.5,0.92,,,,,,,,,,,
TV,,,,,0.0,0.53,0.38,0.66,0.73,0.5,,1.0,0.9,0.87,0.48,0.66,,0.2,1.0,0.68,0.33,0.0,0.48,0.5,0.5,0.0,0.95
a,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.18,0.18,0.0,0.4,0.07,0.32,0.48,0.28,0.48,0.4,0.0,0.55,0.6,,,,,,,
about,,,,,0.0,0.04,0.06,0.0,0.05,0.0,,0.0,0.0,0.08,0.12,0.25,,,,0.43,,,0.43,,,,0.43
above,,,,,0.0,0.0,0.06,0.0,0.09,0.0,,0.0,0.0,0.07,0.0,0.23,,,,,,,,,,,
across,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.27,0.0,,,,,,,
aeroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.17,0.2,0.2,0.57,0.75,0.11,0.5,0.5,0.8,0.33,0.45,1.0,,,,,,,
after,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.4,0.17,0.0,0.0,0.07,0.35,0.25,0.34,0.68,0.0,0.0,0.18,0.4,,,0.6,,,,0.6
afternoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.18,0.0,,,,,,,
again,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.43,0.5,0.11,0.5,0.25,0.2,0.5,0.45,0.8,,,,,,,
ahah,1.0,0.0,0.5,1.0,0.33,0.75,1.0,1.0,1.0,0.9,1.0,1.0,0.75,1.0,0.88,1.0,1.0,1.0,1.0,0.8,,,,,,,
airplane,,,,,0.5,0.64,0.38,0.63,0.66,0.5,,1.0,0.8,0.88,0.88,0.72,,0.8,1.0,0.95,1.0,0.0,0.95,0.5,1.0,1.0,0.9
all,,,,,0.0,0.25,0.12,0.18,0.18,0.0,,0.0,0.4,0.4,0.5,0.77,,,,,,,,,,,
allgone,0.0,1.0,0.0,1.0,0.42,0.48,0.22,0.7,0.5,0.05,0.4,0.22,0.8,0.58,0.56,0.72,0.4,0.25,0.55,0.64,,,0.47,,,,0.47
