,word,category,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_40,age_41,age_42,age_43,age_45,age_47,age_48
0,bite,action_words,0.0,0.08,0.12,0.0,0.0,0.39,0.22,0.31,0.47,0.24,0.0,0.61,0.49,0.41,0.49,0.58,0.33,0.6,0.75,0.52,0.33,0.0,0.88,1.0,1.0,1.0,0.77
1,blow,action_words,0.0,0.01,0.02,0.0,0.03,0.06,0.06,0.06,0.12,0.04,0.04,0.15,0.1,0.09,0.16,0.21,0.0,0.1,0.08,0.12,0.67,0.0,0.68,1.0,1.0,1.0,0.69
2,break,action_words,0.0,0.05,0.01,0.0,0.01,0.11,0.18,0.12,0.24,0.13,0.16,0.3,0.23,0.27,0.33,0.41,0.17,0.64,0.13,0.19,0.67,0.0,0.86,1.0,0.5,1.0,0.82
3,bring,action_words,0.0,0.08,0.03,0.0,0.0,0.08,0.09,0.07,0.17,0.08,0.16,0.3,0.24,0.3,0.28,0.26,0.0,0.1,0.25,0.38,0.67,0.0,0.84,1.0,1.0,1.0,0.67
4,build,action_words,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.14,0.18,0.0,0.11,0.41,0.07,0.18,0.29,0.32,0.0,0.1,0.5,0.35,0.33,0.0,0.82,1.0,0.5,1.0,0.64
5,bump,action_words,0.0,0.0,0.06,0.0,0.0,0.11,0.2,0.18,0.24,0.17,0.0,0.44,0.0,0.2,0.27,0.28,0.0,0.6,0.25,0.31,0.33,0.0,0.43,1.0,0.5,1.0,0.53
6,buy,action_words,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.08,0.06,0.06,0.18,0.16,0.12,0.18,0.16,0.03,0.18,0.24,0.12,0.33,0.0,0.9,1.0,0.5,1.0,0.79
7,carry,action_words,0.0,0.08,0.06,0.0,0.0,0.11,0.15,0.12,0.3,0.24,0.22,0.44,0.36,0.26,0.49,0.39,0.0,0.0,0.25,0.32,0.67,0.0,0.44,1.0,0.5,1.0,0.56
8,catch,action_words,0.0,0.12,0.06,0.12,0.11,0.04,0.16,0.31,0.16,0.06,0.11,0.59,0.46,0.26,0.44,0.48,0.64,0.4,0.82,0.4,0.33,0.0,0.67,1.0,1.0,1.0,
9,chase,action_words,0.0,0.0,0.12,0.0,0.0,0.09,0.12,0.07,0.21,0.0,0.0,0.37,0.0,0.16,0.21,0.2,0.0,0.5,0.25,0.17,0.33,0.0,0.25,0.5,0.5,1.0,0.5
10,clap,action_words,0.0,0.54,0.09,0.0,0.0,0.32,0.22,0.38,0.35,0.18,0.26,0.45,0.58,0.3,0.33,0.49,0.1,0.48,0.82,0.43,0.67,0.0,0.86,1.0,0.5,1.0,0.73
11,clean1,action_words,0.0,0.08,0.06,0.0,0.0,0.25,0.18,0.26,0.38,0.16,0.22,0.37,0.39,0.61,0.51,0.62,0.22,0.68,0.74,0.78,0.67,0.0,0.92,1.0,1.0,1.0,0.85
