,age_22,age_25,age_30
child,"['HDPM052', 'HDPM054', 'HDPM056', 'HDPM057', 'HDPM058', 'HDPM059', 'HDPM060????', 'HDPM061', 'HDPM062', 'HDPM063', 'HDPM064', 'HDPM065', 'HDPM066', 'HDPM068', 'HDPM069', 'HDPM070', 'HDPM071', 'HDPM072', 'HDPM076', 'HDPM077', 'HDPM078', 'HDPM079', 'HDPM080', 'HDPM081', 'HDPM082', 'HDPM083', 'HDPM084', 'HDPM085', 'HDPM086', 'HDPM087', 'HDPM088', 'HDPM091', 'HDPM092', 'HDPM093', 'HDPM094', 'HDPM097', 'HDPM098', 'HDPM099', 'HDPM100', 'HDPM131', 'HDPM132', 'HDPM133', 'HDPM134', 'HDPM135', 'HDPM136', 'HDPM137', 'HDPM138']","['HDPM052', 'HDPM054', 'HDPM056', 'HDPM057', 'HDPM058', 'HDPM059', 'HDPM060????', 'HDPM061', 'HDPM062', 'HDPM063', 'HDPM064', 'HDPM065', 'HDPM066', 'HDPM068', 'HDPM069', 'HDPM070', 'HDPM071', 'HDPM072', 'HDPM076', 'HDPM077', 'HDPM078', 'HDPM079', 'HDPM080', 'HDPM081', 'HDPM082', 'HDPM083', 'HDPM084', 'HDPM085', 'HDPM086', 'HDPM087', 'HDPM088', 'HDPM090', 'HDPM091', 'HDPM092', 'HDPM093', 'HDPM094', 'HDPM096', 'HDPM097', 'HDPM098', 'HDPM099', 'HDPM100', 'HDPM110', 'HDPM131', 'HDPM132', 'HDPM133', 'HDPM134', 'HDPM135', 'HDPM136', 'HDPM137', 'HDPM138', 'HDPM140']","['HDPM051', 'HDPM052', 'HDPM054', 'HDPM056', 'HDPM057', 'HDPM058', 'HDPM059', 'HDPM060????', 'HDPM061', 'HDPM062', 'HDPM063', 'HDPM064', 'HDPM065', 'HDPM066', 'HDPM068', 'HDPM069', 'HDPM070', 'HDPM071', 'HDPM072', 'HDPM076', 'HDPM077', 'HDPM078', 'HDPM079', 'HDPM080', 'HDPM081', 'HDPM082', 'HDPM083', 'HDPM084', 'HDPM085', 'HDPM086', 'HDPM087', 'HDPM088', 'HDPM091', 'HDPM092', 'HDPM093', 'HDPM094', 'HDPM097', 'HDPM098', 'HDPM099', 'HDPM100', 'HDPM131', 'HDPM132', 'HDPM133', 'HDPM134', 'HDPM135', 'HDPM136', 'HDPM137', 'HDPM138']"
baa baa,0.77,0.75,0.77
choo choo,0.98,0.98,0.98
cockadoodledoo,0.53,0.53,0.54
grr,0.83,0.8,0.83
meow,0.96,0.94,0.96
moo,0.96,0.94,0.96
ouch,0.89,0.9,0.9
quack quack,0.94,0.9,0.94
uh oh,0.79,0.8,0.77
vroom,0.7,0.69,0.71
woof woof,0.91,0.92,0.92
yum yum,0.81,0.78,0.81
alligator,0.53,0.55,0.54
animal,0.64,0.63,0.65
ant,0.62,0.63,0.62
bear,0.85,0.84,0.85
bee,0.85,0.84,0.85
bird,0.85,0.86,0.85
bug,0.7,0.71,0.71
bunny,0.81,0.8,0.81
butterfly,0.87,0.88,0.88
cat,0.87,0.88,0.88
chicken,0.72,0.73,0.73
cow,0.87,0.86,0.88
deer,0.19,0.2,0.19
dog,0.91,0.92,0.92
donkey,0.3,0.29,0.31
duck,0.87,0.86,0.88
elephant,0.83,0.84,0.83
fish,0.94,0.92,0.94
frog,0.81,0.8,0.81
giraffe,0.68,0.67,0.69
goose,0.21,0.22,0.23
hen,0.17,0.18,0.17
horse,0.81,0.8,0.81
kitty,0.74,0.75,0.75
lamb,0.26,0.25,0.27
lion,0.87,0.86,0.88
monkey,0.94,0.92,0.94
moose,0.17,0.2,0.19
mouse,0.66,0.67,0.67
owl,0.4,0.41,0.42
penguin,0.62,0.63,0.62
pig,0.83,0.82,0.83
pony,0.28,0.29,0.29
puppy,0.66,0.67,0.67
rooster,0.38,0.39,0.4
sheep,0.68,0.67,0.69
squirrel,0.45,0.45,0.46
teddybear,0.7,0.73,0.71
tiger,0.79,0.8,0.79
turkey,0.36,0.35,0.38
turtle,0.68,0.69,0.69
