,age_36.0,age_42.0,age_48.0
child,"['R01ED400', 'R01ED402', 'R01ED403', 'R01ED408', 'R01ED409', 'R01ED411', 'R01ED414', 'R01ED416', 'R01ED419', 'R01ED420', 'R01ED421', 'R01ED422', 'R01ED423', 'R01ED424', 'R01ED429', 'R01ED432', 'R01ED435', 'R01ED436', 'R01ED439', 'R01ED440', 'R01ED441', 'R01ED443', 'R01ED448', 'R01ED449', 'R01ED450', 'R01ED453', 'R01ED454', 'R01ED459', 'R2130Mo008', 'R2130Mo013', 'R2130Mo014', 'R2130Mo015', 'R2130Mo020', 'R2130Mo021', 'R2130Mo027', 'R2130Mo032', 'R2130Mo033', 'R2130Mo035', 'R2130Mo037', 'R2130Mo038', 'R2130Mo040', 'R2130Mo041', 'R2130Mo043', 'R2130Mo044', 'R2130Mo045', 'R2130Mo046', 'R2130Mo047', 'R2130Mo050', 'R2130Mo052', 'R2130Mo054', 'R2130Mo055', 'R2130Mo056', 'R2130Mo062', 'R2130Mo067', 'R2130Mo069', 'R2130Mo074', 'R2130Mo080', 'R2130Mo086', 'R2130Mo087', 'R2130Mo088', 'R2130Mo092', 'R2130Mo093', 'R2130Mo094', 'R2130Mo095', 'R2130Mo097', 'R2130Mo101', 'R2130Mo102', 'R2130Mo103', 'R2130Mo104', 'R2130Mo105', 'R2130Mo107', 'R2130Mo108', 'R2130Mo109', 'R2130Mo111', 'R2130Mo112', 'R2130Mo114', 'R2130Mo116', 'R2130Mo117', 'R2130Mo118', 'R2130Mo122', 'R2130Mo123', 'R2130Mo128', 'R2130Mo129', 'R2130Mo132', 'R2130Mo133', 'R2130Mo135', 'R2130Mo136', 'R2130Mo137', 'R2130Mo138', 'R2130Mo139', 'R2130Mo141', 'R2130Mo143', 'R2130Mo144', 'R2130Mo145']","['R01ED400', 'R01ED402', 'R01ED403', 'R01ED408', 'R01ED409', 'R01ED411', 'R01ED414', 'R01ED416', 'R01ED419', 'R01ED420', 'R01ED421', 'R01ED422', 'R01ED423', 'R01ED424', 'R01ED429', 'R01ED432', 'R01ED435', 'R01ED436', 'R01ED439', 'R01ED440', 'R01ED441', 'R01ED443', 'R01ED448', 'R01ED449', 'R01ED450', 'R01ED453', 'R01ED454', 'R01ED459', 'R2130Mo008', 'R2130Mo013', 'R2130Mo014', 'R2130Mo015', 'R2130Mo020', 'R2130Mo021', 'R2130Mo027', 'R2130Mo032', 'R2130Mo033', 'R2130Mo035', 'R2130Mo037', 'R2130Mo038', 'R2130Mo040', 'R2130Mo041', 'R2130Mo043', 'R2130Mo044', 'R2130Mo045', 'R2130Mo046', 'R2130Mo047', 'R2130Mo050', 'R2130Mo052', 'R2130Mo054', 'R2130Mo055', 'R2130Mo056', 'R2130Mo062', 'R2130Mo067', 'R2130Mo069', 'R2130Mo074', 'R2130Mo080', 'R2130Mo086', 'R2130Mo087', 'R2130Mo088', 'R2130Mo092', 'R2130Mo093', 'R2130Mo094', 'R2130Mo095', 'R2130Mo097', 'R2130Mo101', 'R2130Mo102', 'R2130Mo103', 'R2130Mo104', 'R2130Mo105', 'R2130Mo107', 'R2130Mo108', 'R2130Mo109', 'R2130Mo111', 'R2130Mo112', 'R2130Mo114', 'R2130Mo116', 'R2130Mo117', 'R2130Mo118', 'R2130Mo122', 'R2130Mo123', 'R2130Mo128', 'R2130Mo129', 'R2130Mo132', 'R2130Mo133', 'R2130Mo135', 'R2130Mo136', 'R2130Mo137', 'R2130Mo138', 'R2130Mo139', 'R2130Mo141', 'R2130Mo143', 'R2130Mo144', 'R2130Mo145']","['R01ED400', 'R01ED402', 'R01ED403', 'R01ED408', 'R01ED409', 'R01ED411', 'R01ED414', 'R01ED416', 'R01ED419', 'R01ED420', 'R01ED421', 'R01ED422', 'R01ED423', 'R01ED424', 'R01ED429', 'R01ED432', 'R01ED435', 'R01ED436', 'R01ED439', 'R01ED440', 'R01ED441', 'R01ED443', 'R01ED448', 'R01ED449', 'R01ED450', 'R01ED453', 'R01ED454', 'R01ED459', 'R2130Mo008', 'R2130Mo013', 'R2130Mo014', 'R2130Mo015', 'R2130Mo020', 'R2130Mo021', 'R2130Mo027', 'R2130Mo032', 'R2130Mo033', 'R2130Mo035', 'R2130Mo037', 'R2130Mo038', 'R2130Mo040', 'R2130Mo041', 'R2130Mo043', 'R2130Mo044', 'R2130Mo045', 'R2130Mo046', 'R2130Mo047', 'R2130Mo050', 'R2130Mo052', 'R2130Mo054', 'R2130Mo055', 'R2130Mo056', 'R2130Mo062', 'R2130Mo067', 'R2130Mo069', 'R2130Mo074', 'R2130Mo080', 'R2130Mo086', 'R2130Mo087', 'R2130Mo088', 'R2130Mo092', 'R2130Mo093', 'R2130Mo094', 'R2130Mo095', 'R2130Mo097', 'R2130Mo101', 'R2130Mo102', 'R2130Mo103', 'R2130Mo104', 'R2130Mo105', 'R2130Mo107', 'R2130Mo108', 'R2130Mo109', 'R2130Mo111', 'R2130Mo112', 'R2130Mo114', 'R2130Mo116', 'R2130Mo117', 'R2130Mo118', 'R2130Mo122', 'R2130Mo123', 'R2130Mo128', 'R2130Mo129', 'R2130Mo132', 'R2130Mo133', 'R2130Mo135', 'R2130Mo136', 'R2130Mo137', 'R2130Mo138', 'R2130Mo139', 'R2130Mo141', 'R2130Mo143', 'R2130Mo144', 'R2130Mo145']"
baa baa,0.69,0.69,0.69
choo choo,0.82,0.82,0.82
cockadoodledoo,0.52,0.52,0.52
grr,0.76,0.76,0.76
meow,0.87,0.87,0.87
moo,0.86,0.86,0.86
ouch,0.78,0.78,0.78
quack quack,0.89,0.89,0.89
uh oh,0.72,0.72,0.72
vroom,0.61,0.61,0.61
woof woof,0.8,0.8,0.8
yum yum,0.81,0.81,0.81
alligator,0.89,0.89,0.89
animal,0.87,0.87,0.87
ant,0.79,0.79,0.79
bear,0.95,0.95,0.95
bee,0.84,0.84,0.84
bird,0.95,0.95,0.95
bug,0.7,0.7,0.7
bunny,0.88,0.88,0.88
butterfly,0.96,0.96,0.96
cat,0.96,0.96,0.96
chicken,0.94,0.94,0.94
cow,0.91,0.91,0.91
deer,0.41,0.41,0.41
dog,0.98,0.98,0.98
donkey,0.59,0.59,0.59
duck,0.9,0.9,0.9
elephant,0.96,0.96,0.96
fish,0.97,0.97,0.97
frog,0.91,0.91,0.91
giraffe,0.85,0.85,0.85
goose,0.44,0.44,0.44
hen,0.35,0.35,0.35
horse,0.94,0.94,0.94
kitty,0.79,0.79,0.79
lamb,0.4,0.4,0.4
lion,0.95,0.95,0.95
monkey,0.96,0.96,0.96
moose,0.35,0.35,0.35
mouse,0.83,0.83,0.83
owl,0.64,0.64,0.64
penguin,0.88,0.88,0.88
pig,0.94,0.94,0.94
pony,0.72,0.72,0.72
puppy,0.87,0.87,0.87
