Participant_ID,Gender,Ethnicity,Language_Status,Father_education_30,Father_education_lang_30,Mother_education_30,Mother_education_lang_30,Chronological_age_30,Input_percent_Eng_home_30
HDPM002,1.0,6.0,0.0,3.0,1.0,5.0,1.0,31.23,100.0
HDPM003,0.0,4.0,0.0,3.0,1.0,4.0,1.0,30.67,100.0
HDPM004,0.0,4.0,0.0,2.0,1.0,2.0,1.0,30.53,100.0
HDPM005,0.0,4.0,0.0,5.0,1.0,5.0,1.0,31.17,100.0
HDPM006,1.0,4.0,0.0,3.0,1.0,2.0,1.0,30.43,100.0
HDPM007,1.0,1.0,0.0,2.0,1.0,2.0,1.0,30.77,100.0
HDPM008,0.0,4.0,0.0,,,,,31.0,100.0
HDPM009,0.0,2.0,0.0,3.0,1.0,4.0,1.0,31.2,100.0
HDPM010,0.0,4.0,0.0,2.0,2.0,5.0,1.0,30.7,100.0
HDPM011,1.0,4.0,0.0,3.0,1.0,1.0,1.0,31.0,100.0
HDPM012,,,,,,,,,
HDPM013,1.0,4.0,0.0,2.0,1.0,4.0,1.0,31.37,100.0
HDPM014,1.0,3.0,0.0,2.0,1.0,3.0,1.0,32.0,100.0
HDPM015,1.0,6.0,0.0,5.0,1.0,5.0,1.0,30.73,95.0
HDPM016,0.0,4.0,0.0,4.0,1.0,4.0,1.0,31.07,100.0
HDPM017,1.0,4.0,0.0,,,,,30.96,100.0
HDPM018,1.0,6.0,0.0,4.0,1.0,5.0,1.0,31.4,99.0
HDPM019,1.0,4.0,0.0,5.0,1.0,5.0,1.0,31.6,99.0
HDPM020,1.0,4.0,0.0,5.0,1.0,5.0,1.0,30.67,100.0
HDPM021,0.0,1.0,0.0,4.0,1.0,4.0,1.0,31.43,100.0
HDPM022,1.0,1.0,0.0,4.0,1.0,4.0,1.0,31.43,100.0
HDPM023,0.0,1.0,0.0,5.0,1.0,4.0,1.0,31.27,100.0
HDPM024,0.0,6.0,0.0,5.0,1.0,4.0,1.0,30.47,100.0
HDPM025,1.0,4.0,0.0,4.0,1.0,4.0,1.0,30.8,100.0
HDPM026,1.0,2.0,0.0,2.0,1.0,4.0,1.0,30.43,90.0
