Participant_ID,Gender,Ethnicity,Language_Status,Father_education_30,Father_education_lang_30,Mother_education_30,Mother_education_lang_30,Chronological_age_30,Input_percent_Eng_home_30,Chronological_age_36,Input_percent_Eng_home_36,Chronological_age_42,Input_percent_Eng_home_42,Chronological_age_48,Input_percent_Eng_home_48
R01ED001,1,4,0,4,1,4,1,30.67,100.0,37.2,100,42.17,100,47.8,100
R01ED002,0,4,0,4,1,4,1,30.07,100.0,35.9,100,42.03,100,48.73,100
R01ED003,1,4,0,4,1,5,1,30.2,100.0,36.27,100,42.2,100,48.1,100
R01ED004,0,4,0,4,1,5,1,30.33,100.0,-997.0,-997,-997.0,-997,-997.0,-997
R01ED005,0,4,0,4,1,4,1,30.3,100.0,36.27,96,42.0,100,48.4,98
R01ED007,1,4,0,2,1,2,1,30.57,100.0,36.27,100,42.03,100,-997.0,-997
R01ED008,1,4,0,4,1,5,1,30.2,100.0,36.13,100,42.2,100,48.13,100
R01ED009,1,4,0,4,1,4,1,30.83,100.0,36.7,100,42.5,100,-997.0,-997
R01ED010,0,4,0,5,1,5,1,30.23,100.0,37.2,100,42.17,100,48.57,100
R01ED012,1,4,0,4,1,4,1,31.0,99.0,36.23,99,42.37,100,48.77,100
R01ED013,1,4,0,4,1,4,1,31.0,100.0,36.5,100,42.5,100,48.4,100
R01ED014,1,4,0,2,1,4,1,31.13,99.0,36.83,99,43.13,99,48.83,99
R01ED015,1,4,0,5,1,5,1,30.0,100.0,36.6,98,43.0,99,49.1,98
R01ED016,0,1,0,4,1,5,1,30.97,100.0,36.17,100,-997.0,-997,-997.0,-997
R01ED017,1,4,0,2,1,5,1,29.87,100.0,36.37,100,43.13,100,-997.0,-997
R01ED018,0,6,0,4,1,4,1,30.1,100.0,-997.0,-997,-997.0,-997,-997.0,-997
R01ED019,1,4,0,2,1,3,1,30.97,100.0,36.83,100,-997.0,-997,-997.0,-997
R01ED020,0,4,0,4,1,5,1,31.0,100.0,37.1,100,43.17,100,48.6,100
R01ED021,1,1,0,4,1,4,1,30.2,100.0,-997.0,-997,-997.0,-997,-997.0,-997
R01ED022,0,4,0,5,1,4,1,30.33,100.0,38.2,100,42.97,100,49.13,100
R01ED023,0,4,0,5,1,5,1,30.57,100.0,36.8,100,43.17,100,49.17,100
R01ED025,0,4,0,5,1,4,1,30.43,100.0,-997.0,-997,-997.0,-997,-997.0,-997
R01ED026,0,4,0,2,1,5,1,30.83,100.0,36.37,99,43.2,100,49.1,100
R01ED027,0,4,0,4,1,5,1,30.87,90.0,36.6,95,43.2,96,48.97,100
R01ED028,0,4,0,2,1,2,1,30.3,100.0,36.5,100,43.1,100,49.0,100
R01ED030,1,4,0,4,1,4,1,30.2,100.0,37.07,100,42.5,100,49.17,95
R01ED031,0,4,0,5,1,4,1,31.17,100.0,37.0,99,43.1,100,49.2,95
R01ED032,1,4,0,3,1,3,1,30.33,100.0,-997.0,-997,-997.0,-997,-997.0,-997
R01ED033,1,6,0,4,1,4,1,30.4,100.0,36.57,100,43.17,100,-997.0,-997
R01ED034,1,4,0,2,1,4,1,30.53,100.0,36.6,100,43.23,100,49.23,100
R01ED035,0,6,0,4,1,3,1,30.2,100.0,36.6,100,-997.0,-997,49.1,100
R01ED037,1,2,0,4,1,5,1,30.13,97.0,37.17,95,-997.0,-997,49.2,90
R01ED038,0,4,0,4,1,4,1,30.3,100.0,37.07,100,43.17,99,49.13,95
R01ED039,1,2,0,4,1,3,1,30.47,95.0,36.83,95,43.13,95,49.17,95
R01ED040,1,1,0,3,1,3,1,31.0,99.0,37.17,100,43.23,100,-997.0,-997
R01ED041,1,4,0,3,1,4,1,29.93,100.0,-997.0,-997,-997.0,-997,-997.0,-997
R01ED042,1,4,0,4,1,4,1,31.13,100.0,37.23,100,43.17,100,49.2,100
